,target,time,turkId
20703,4,736.5520000000001,ID7
20704,4,737.1570000000003,ID7
20710,2,738.338005,ID7
20713,2,738.685,ID7
20714,2,738.9830050000003,ID7
20715,2,739.0440000000001,ID7
20716,2,739.5520000000001,ID7
20722,0,743.7710050000003,ID7
20725,0,743.9220000000001,ID7
20731,0,747.1510049999998,ID7
20735,0,749.666,ID7
20739,1,754.8650000000001,ID7
20743,1,754.934005,ID7
20744,1,755.315,ID7
20745,1,755.3960050000003,ID7
20747,1,755.5580000000001,ID7
20748,1,755.6060000000001,ID7
20749,1,755.6480050000001,ID7
20751,1,755.7050050000001,ID7
20752,1,755.8960050000003,ID7
20753,1,756.1870000000001,ID7
20761,1,756.81,ID7
20765,1,757.0770000000001,ID7
20766,1,757.3530000000002,ID7
20767,1,757.4640050000003,ID7
20769,1,757.5250000000003,ID7
20770,1,757.8410050000001,ID7
20771,1,757.9200050000003,ID7
20773,1,758.0990050000001,ID7
20774,1,758.1680000000001,ID7
20775,1,758.2520049999998,ID7
20777,1,758.376005,ID7
20778,1,759.0290050000001,ID7
20786,0,761.097005,ID7
20790,0,762.4110000000002,ID7
20794,1,765.1680000000001,ID7
20798,1,765.7820000000003,ID7
20799,1,765.8480000000002,ID7
20800,1,766.2560000000002,ID7
20802,1,766.3210000000001,ID7
20803,1,767.16,ID7
20811,0,768.496005,ID7
20815,0,768.5930000000002,ID7
20823,2,770.4430000000001,ID7
20827,2,770.977005,ID7
20828,2,771.2340000000003,ID7
20829,2,771.2560000000002,ID7
20831,2,771.5750050000001,ID7
20832,2,771.6950050000003,ID7
20833,2,771.765005,ID7
20835,2,771.9270000000001,ID7
20836,2,772.1500000000003,ID7
20837,2,772.222005,ID7
20839,2,772.3580050000003,ID7
20840,2,772.4200050000003,ID7
20841,2,772.5690050000003,ID7
20843,2,772.741005,ID7
20844,2,772.9020000000003,ID7
20845,2,773.001005,ID7
